Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Jumlah Lantai,Kondisi Properti,Carport,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Kecamatan
1000000000,2,1,90,55,SHM,2200,1,Bagus,1,0,0,Kelapa Dua
1000000000,2,1,90,55,SHM,2200,1,Bagus,1,0,0,Kelapa Dua
1000000000,3,2,644,135,SHM,1300,1,Bagus,1,0,0,Balaraja
1000000000,3,2,66,79,SHM,3500,2,Bagus,1,0,0,Pasar Kemis
1000000000,3,3,120,166,SHM,1300,2,Baru,2,1,0,Cikupa
1000000000,3,2,60,65,Lainnya,2200,2,Bagus,1,0,0,Balaraja
1000000000,3,1,120,74,SHM,2200,1,Bagus,1,0,0,Kosambi
1000000000,4,3,90,120,SHM,2200,2,Bagus,2,0,0,Cikupa
1000000000,1,2,72,110,SHM,2200,2,Bagus,1,0,0,Sepatan
1000000000,3,2,60,49,Lainnya,2200,2,Baru,1,0,0,Curug
1000000000,3,2,60,49,Lainnya,2200,2,Baru,1,0,0,Curug
1000000000,4,3,100,150,SHM,2200,2,Baru,1,1,1,Cikupa
1000000000,3,3,100,150,SHM,2200,2,Baru,1,1,0,Cikupa
1000000000,3,3,90,90,SHM,2200,2,Baru,1,1,1,Cikupa
1000000000,2,1,105,54,SHM,5500,1,Bagus,1,0,0,Cisauk
1000000000,4,4,100,150,SHM,1300,1,Bagus,1,1,0,Cikupa
1000000000,2,2,520,75,SHM,1300,1,Bagus,1,0,0,Jayanti
1000000000,2,2,40,53,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1000000000,3,2,86,84,SHM,2200,2,Butuh Renovasi,1,0,1,Sepatan
1000000000,4,3,77,96,SHM,2200,2,Baru,2,0,0,Cikupa
1020000000,2,3,40,49,Lainnya,2200,2,Bagus,1,1,0,Kelapa Dua
1020000000,2,3,40,49,Lainnya,2200,2,Bagus,1,1,0,Kelapa Dua
1020000000,3,2,66,79,SHM,3500,2,Bagus,1,0,0,Cikupa
1020000000,2,3,40,49,Lainnya,2200,2,Bagus,1,1,0,Kelapa Dua
1050000000,2,1,72,46,SHM,1300,1,Bagus,1,0,0,Cisauk
1050000000,3,2,120,110,SHM,3500,1,Bagus,1,1,0,Kelapa Dua
1050000000,3,2,128,110,SHM,2200,2,Bagus,1,1,0,Cikupa
1050000000,4,2,138,100,SHM,1300,2,Bagus,1,0,0,Kelapa Dua
1050000000,3,2,120,110,SHM,3500,1,Bagus,1,1,0,Kelapa Dua
1050000000,3,2,96,66,SHM,1300,2,Baru,1,0,0,Sepatan
1050000000,2,2,60,80,Lainnya,2200,3,Bagus,1,1,1,Kelapa Dua
1050000000,2,2,48,56,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1050000000,3,2,96,66,SHM,1300,2,Baru,1,0,0,Sepatan
1050000000,2,2,48,60,Lainnya,1300,2,Bagus,1,0,0,Kelapa Dua
1080000000,3,2,84,87,HGB,2200,2,Baru,2,1,1,Legok
1080000000,3,4,67,79,SHM,2200,2,Bagus,2,0,0,Legok
1080000000,2,1,90,65,SHM,1300,1,Bagus,1,0,0,Kelapa Dua
1100000000,2,2,96,120,SHM,1300,2,Bagus,1,0,0,Kelapa Dua
1100000000,3,2,91,75,SHM,2200,2,Bagus,2,0,0,Cisauk
1100000000,1,2,48,60,SHM,3500,2,Bagus,1,0,0,Kelapa Dua
1100000000,2,1,119,72,SHM,2200,1,Bagus,1,1,1,Cikupa
1100000000,2,2,48,55,Lainnya,2200,2,Bagus,1,1,0,Kelapa Dua
1100000000,2,2,48,48,Lainnya,2200,2,Bagus,1,0,0,Pagedangan
1100000000,3,4,79,90,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1100000000,3,4,67,78,SHM,2200,2,Baru,1,0,0,Kelapa Dua
1100000000,3,2,81,55,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1100000000,3,3,67,78,SHM,2200,2,Bagus,2,0,0,Legok
1100000000,3,2,136,93,SHM,2200,2,Bagus,1,1,1,Cikupa
1100000000,3,2,75,82,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1100000000,4,2,136,150,SHM,2200,2,Bagus,1,1,1,Cikupa
1100000000,2,1,90,69,SHM,2200,2,Bagus,1,1,1,Cikupa
1100000000,4,3,54,124,SHM,2200,3,Bagus,1,0,0,Cikupa
1100000000,2,1,90,43,Lainnya,2200,2,Bagus,1,1,1,Cikupa
1100000000,4,3,103,101,SHM,4400,2,Baru,1,1,1,Cikupa
1100000000,2,1,96,66,SHM,2200,1,Bagus,1,0,0,Cikupa
1100000000,3,3,240,224,SHM,2200,2,Butuh Renovasi,2,1,1,Tigaraksa
1100000000,2,2,48,63,Lainnya,2200,2,Bagus,1,1,0,Kelapa Dua
1100000000,2,1,60,28,PPJB,2200,1,Bagus,1,0,0,Cisauk
1110000000,2,1,90,60,SHM,1300,1,Bagus,1,1,0,Kelapa Dua
1120000000,2,2,120,80,SHM,2200,1,Bagus,1,1,0,Kelapa Dua
1140000000,2,2,60,66,HGB,2200,2,Baru,1,0,0,Cisauk
1150000000,2,2,60,80,Lainnya,2200,2,Bagus,1,0,0,Pagedangan
1150000000,2,2,45,52,Lainnya,2200,2,Baru,1,0,0,Teluk Naga
1150000000,2,2,48,70,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1150000000,3,2,48,55,Lainnya,5500,2,Bagus,1,0,0,Kelapa Dua
1150000000,3,3,40,50,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1150000000,3,2,91,90,SHM,2200,2,Bagus,1,0,0,Cisauk
1150000000,2,2,40,50,PPJB,2200,2,Bagus,1,1,1,Kelapa Dua
1150000000,2,2,90,94,SHM,5500,2,Bagus,1,0,0,Cikupa
1150000000,4,3,54,124,Lainnya,3500,3,Bagus,2,0,0,Cikupa
1160000000,3,3,72,90,HGB,2200,2,Bagus,1,0,0,Cisauk
1170000000,2,2,48,70,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1180000000,2,1,84,70,SHM,2200,1,Bagus,1,0,0,Kelapa Dua
1190000000,2,1,84,70,SHM,2200,1,Bagus,2,0,0,Kelapa Dua
1190000000,3,3,79,88,SHM,2200,2,Baru,2,0,0,Legok
1190000000,3,1,105,48,Lainnya,1300,2,Baru,1,0,0,Cikupa
1200000000,2,1,98,70,SHM,2200,1,Bagus,2,0,1,Kelapa Dua
1200000000,2,2,48,70,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1200000000,3,2,160,168,SHM,1300,2,Bagus,1,1,1,Cikupa
1200000000,3,2,72,74,SHM,3500,2,Bagus,2,0,0,Cisauk
1200000000,3,2,160,250,SHM,5500,2,Bagus,1,1,1,Cikupa
1200000000,2,2,48,50,Lainnya,3500,2,Bagus,1,0,0,Kelapa Dua
1200000000,3,2,160,250,SHM,5500,2,Bagus,1,1,1,Cikupa
1200000000,2,1,108,90,SHM,2200,1,Bagus,1,1,1,Kelapa Dua
1200000000,2,1,105,70,SHM,2200,1,Bagus,1,1,1,Kelapa Dua
1200000000,4,2,90,110,Lainnya,3500,2,Bagus,1,0,0,Curug
1200000000,2,2,72,65,SHM,3500,2,Bagus,1,0,0,Legok
1200000000,2,2,48,50,Lainnya,3500,1,Bagus,1,0,0,Kelapa Dua
1200000000,4,2,72,83,SHM,5500,1,Bagus,1,0,0,Curug
1200000000,3,1,140,100,SHM,2200,2,Baru,1,0,0,Cikupa
1200000000,4,3,100,150,SHM,2200,2,Bagus,1,0,0,Cikupa
1200000000,3,3,83,90,SHM,2200,2,Baru,2,0,0,Pagedangan
1200000000,2,2,48,50,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1200000000,2,2,80,80,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1200000000,2,1,84,28,SHM,2200,1,Bagus,1,0,0,Pagedangan
