URL;Harga;Lokasi;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Sertifikat;Daya Listrik;Jumlah Lantai;Kondisi Properti;Lainnya;Carport;Kamar Tidur Pembantu;Kamar Mandi Pembantu;Garasi;IMB
https://www.rumah123.com/properti/tangerang/hos18573887/;Rp 1 Miliar;BSD, Tangerang;4;2;114 m²;147 m²;SHM;1300 Watt;2;Bagus;Informasi tambahan tidak tersedia;1;0;0;0;
https://www.rumah123.com/properti/tangerang/hos19034118/;Rp 1 Miliar;Tangerang, Tangerang;2;1;126 m²;60 m²;SHM;2200 Watt;1;Bagus;Informasi tambahan tidak tersedia;1;0;0;;
https://www.rumah123.com/properti/tangerang/hos18191059/;Rp 1 Miliar;BSD City, Tangerang;3;2;84 m²;81 m²;HGB;1300 Watt;2;Bagus;Informasi tambahan tidak tersedia;1;0;0;;
https://www.rumah123.com/properti/tangerang/hos17721776/;Rp 1 Miliar;BSD, Tangerang;3;2;103 m²;66 m²;SHM;1300 Watt;1;Bagus;Informasi tambahan tidak tersedia;1;0;0;;
https://www.rumah123.com/properti/tangerang/hos17987176/;Rp 1 Miliar;BSD, Tangerang;3;2;103 m²;66 m²;SHM;1300 Watt;1;Bagus;Informasi tambahan tidak tersedia;1;0;0;;
https://www.rumah123.com/properti/tangerang/hos16055632/;Rp 1 Miliar;BSD, Tangerang;3;2;108 m²;120 m²;SHM;900 Watt;2;Bagus;Informasi tambahan tidak tersedia;1;0;0;;
https://www.rumah123.com/properti/tangerang/hos18459797/;Rp 1 Miliar;Gading Serpong, Tangerang;2;1;90 m²;55 m²;SHM;2200 Watt;1;Bagus;Informasi tambahan tidak tersedia;1;0;0;;
https://www.rumah123.com/properti/tangerang/hos17788892/;Rp 1 Miliar;BSD City, Tangerang;3;2;84 m²;81 m²;HGB;1300 Watt;2;Bagus;Informasi tambahan tidak tersedia;1;0;0;;
https://www.rumah123.com/properti/tangerang/hos18218041/;Rp 1 Miliar;Gading Serpong, Tangerang;2;1;90 m²;55 m²;SHM;2200 Watt;1;Bagus;Informasi tambahan tidak tersedia;1;0;0;;
https://www.rumah123.com/properti/tangerang/hos18900169/;Rp 1 Miliar;Tangerang, Tangerang;2;1;84 m²;55 m²;SHM;2200 Watt;1;Bagus;Informasi tambahan tidak tersedia;1;0;0;;
